,IdMaterial,Sucursal,IdCeSum,ABC_Sucursal,Margen_Suc,ABC,Margen_Total
19782,11000787,Los Angeles,D110,B,0.04420566380365267,B,0.02250380238264773
19783,11000787,Ancud,D270,C,0.009072949308243474,B,0.02250380238264773
19784,11000787,Frutillar,D230,C,0.01748682411385633,B,0.02250380238264773
19785,11000787,Panguipulli,D130,B,0.04729564625660948,B,0.02250380238264773
19786,11000787,Temuco,D120,B,0.04300987730298072,B,0.02250380238264773
19787,11000787,Valdivia,D150,C,0.009119507628582584,B,0.02250380238264773
19788,11000787,Los Muermos,D250,C,0.023602993946521645,B,0.02250380238264773
19789,11000787,Rio Bueno,D180,C,0.013015346188601808,B,0.02250380238264773
19790,41004476,Los Lagos,D160,C,0.0006542715944282338,C,2.1641978666656092e-05
19791,21000493,Los Lagos,D160,C,0.0006525664934747723,C,0.0009752910147902904
19792,21000493,Osorno,D190,C,0.000969209726174582,C,0.0009752910147902904
19793,21000493,Panguipulli,D130,C,0.0005907256327038112,C,0.0009752910147902904
19794,21000493,Temuco,D120,C,0.010820806484739064,C,0.0009752910147902904
19795,21000493,Valdivia,D150,C,0.002184429891058854,C,0.0009752910147902904
19796,11001489,Los Lagos,D160,C,0.0006468422259881515,C,0.00011099772826204554
19797,11001489,Osorno,D190,C,0.00010090805680170901,C,0.00011099772826204554
19798,11001489,Puerto Varas,D240,C,0.00024567387559331727,C,0.00011099772826204554
19799,11001489,Panguipulli,D130,C,0.00029073226827919935,C,0.00011099772826204554
19800,11001489,Valdivia,D150,C,0.00034942180347041974,C,0.00011099772826204554
19801,11001489,Rio Bueno,D180,C,0.00028497468709095755,C,0.00011099772826204554
19802,11002114,Los Lagos,D160,C,0.0006413615443520252,C,0.00022399367346725218
19803,11002114,Osorno,D190,C,0.00011375799679311974,C,0.00022399367346725218
19804,11002114,Puerto Varas,D240,C,0.0005726132901673317,C,0.00022399367346725218
19805,11002114,Purranque,D220,C,0.0002674250100084473,C,0.00022399367346725218
19806,11002114,Ancud,D270,C,0.00025055667402883316,C,0.00022399367346725218
19807,11002114,Mafil,D140,C,0.002192997374719188,C,0.00022399367346725218
19808,11002114,Panguipulli,D130,C,0.0009117769657447775,C,0.00022399367346725218
19809,11002114,Valdivia,D150,C,0.0007426676914354541,C,0.00022399367346725218
19810,22000742,Los Lagos,D160,C,0.0006413615443520252,C,3.2015786385688004e-05
19811,22000742,Mafil,D140,C,0.000858686426408959,C,3.2015786385688004e-05
19812,22000653,Los Lagos,D160,C,0.0006412397514267779,C,6.436595181630015e-05
19813,22000653,Mafil,D140,C,0.00012266948948699415,C,6.436595181630015e-05
19814,22000653,Panguipulli,D130,C,0.00038003569539567694,C,6.436595181630015e-05
19815,22000653,Temuco,D120,C,0.00011783064443289984,C,6.436595181630015e-05
19816,22000653,Valdivia,D150,C,0.0003843807105672688,C,6.436595181630015e-05
19817,22000653,Rio Bueno,D180,C,5.759070331454891e-05,C,6.436595181630015e-05
19818,22000781,Los Lagos,D160,C,0.0006412397514267779,C,2.7382823715052394e-05
19819,22000781,Temuco,D120,C,0.00011783064443289984,C,2.7382823715052394e-05
