,CentroSuministrador,Periodo,MesPeriodo,IdPeriodo,precip,tmin,tmax,tmean,dia_lluvia,dia_helada,dia_caluroso,Dolar,IPC,Desempleo,IMACEC,Precio_carne,Precio_leche,Precio_carne_1trim_mean,Precio_carne_0trim_mean,Precio_leche_1trim_mean,Precio_leche_0trim_mean,tmean_1trim_mean,tmean_0trim_mean,precip_1trim_mean,precip_0trim_mean,dia_lluvia_1trim_mean,dia_lluvia_0trim_mean,dia_helada_1trim_mean,dia_helada_0trim_mean,tmin_1trim_mean,tmin_0trim_mean,tmax_1trim_mean,tmax_0trim_mean,dia_caluroso_1trim_mean,dia_caluroso_0trim_mean
398,Máfil,2015,12,2015-12-01,2.1777971534466096,9.30182805338868,19.256687837669016,14.56942436596353,6.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,8.481772872907797,10.598984643377534,12.462160694112784,3.731129309797041,21.666666666666668,12.666666666666666,1.6666666666666667,0.3333333333333333,5.45283782061459,5.886536672773256,10.956733348553831,14.733220731489846,0.0,0.0
399,Octay,2015,12,2015-12-01,1.6678662428766557,9.053412180228126,18.28086189325828,14.038686862742768,11.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,7.832888821219188,9.83130958174778,9.844623381716582,2.7344833916164517,22.0,14.333333333333334,1.6666666666666667,0.6666666666666666,4.749115043024882,5.553745224371339,9.817934616042699,13.172660411841738,0.0,0.0
400,Osorno,2015,12,2015-12-01,1.601722331808889,8.670758931278208,18.742258244546903,14.055535242332843,6.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,7.765194846277258,9.85823364219089,10.470122504266564,2.9950601274565862,22.333333333333332,14.666666666666666,3.0,1.0,4.51141266513766,5.237853005516335,10.160008555651663,13.78563510747774,0.0,0.0
401,Panguipulli,2015,12,2015-12-01,4.014731670157452,8.65172309219648,19.20190349822782,14.305685665728529,6.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,7.6556511126043505,10.220520194703246,16.105061065719834,5.049100973622184,22.333333333333332,14.666666666666666,4.0,1.0,4.499376932118774,5.199410272609428,10.152580486956097,14.58258107075803,0.0,0.0
402,Puerto Montt,2015,12,2015-12-01,2.6062789028924347,9.886604645524969,17.66547616254881,14.234830357743673,10.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,8.405578097261325,10.282259674083873,10.77011797244826,3.75913906938224,24.666666666666668,15.666666666666666,0.3333333333333333,0.0,5.538225068088664,6.402541069388936,9.8586887326107,12.973426799810255,0.0,0.0
403,Puerto Varas,2015,12,2015-12-01,2.6062789028924347,9.886604645524969,17.66547616254881,14.234830357743673,10.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,8.405578097261325,10.282259674083873,10.77011797244826,3.75913906938224,24.666666666666668,15.666666666666666,0.3333333333333333,0.0,5.538225068088664,6.402541069388936,9.8586887326107,12.973426799810255,0.0,0.0
404,Purranque,2015,12,2015-12-01,1.5121601556146314,8.633600681093736,18.966148581532675,14.165742067593266,8.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,7.6459026126799,9.80697020715899,9.691784360350153,2.633074247800022,21.333333333333332,13.666666666666666,3.6666666666666665,2.0,4.287894402875874,5.118843083088382,10.096349208811375,13.695617969435688,0.0,0.0
405,Río Bueno,2015,12,2015-12-01,1.7448347576081584,8.840327701294107,19.637212068830145,14.545063902888183,6.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,7.95289257801156,10.209354384590915,10.390586277864474,2.7611185062889656,21.0,13.0,3.3333333333333335,1.3333333333333333,4.702446992659353,5.4497325714540885,10.460673603192594,14.371783067178477,0.0,0.0
406,Temuco,2015,12,2015-12-01,1.7143257608117992,9.099010504938287,21.145085792497714,15.020165931464707,7.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,8.513538371567995,10.723609638464348,7.798839669218668,2.965802843778681,20.0,11.0,3.6666666666666665,2.0,5.169766083963947,5.4751855465640675,11.786604314676225,15.669197094559417,0.0,0.0
407,Valdivia,2015,12,2015-12-01,1.6680039973774026,10.517162247967201,17.90716336909865,14.400765975455597,5.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,9.064516390120355,10.81185948606614,13.537763867001411,3.2580809181493966,22.666666666666668,12.0,0.0,0.0,6.726204733489001,7.34508832039203,10.937972779694087,13.928820095536736,0.0,0.0
