,IdMaterial,MesPeriodo,IdPeriodo,Periodo,IdCeSum,CentroSuministrador,CtdadUMBase,UMBase,precip,tmin,tmax,tmean,dia_lluvia,dia_helada,dia_caluroso,Dolar,IPC,Desempleo,IMACEC,Precio_carne,Precio_leche,Precio_carne_1trim_mean,Precio_carne_0trim_mean,Precio_leche_1trim_mean,Precio_leche_0trim_mean,tmean_1trim_mean,tmean_0trim_mean,precip_1trim_mean,precip_0trim_mean,dia_lluvia_1trim_mean,dia_lluvia_0trim_mean,dia_helada_1trim_mean,dia_helada_0trim_mean,tmin_1trim_mean,tmin_0trim_mean,tmax_1trim_mean,tmax_0trim_mean,dia_caluroso_1trim_mean,dia_caluroso_0trim_mean
28444,10000048,3,2015-03-01,2015,D220,Purranque,0.0,UN  ,0.6902370515701267,9.243405199853786,20.97991083039904,14.487212882884236,5.0,0.0,0.0,628.503181818182,0.6,6.2,2.6,6234.066666666667,700.0,5995.488888888888,6160.177777777779,711.6666666666666,698.6666666666666,12.505756410256415,16.530415572915715,3.5308888888888887,0.2439500219714653,9.333333333333334,1.6666666666666667,1.3333333333333333,0.0,5.726251748251748,9.703069473302516,18.67985424619216,22.55928110135282,0.0,0.6666666666666666
28445,10000048,4,2015-04-01,2015,D220,Purranque,0.0,UN  ,3.240446489215843,7.783464735738985,15.87080124008706,11.366648951718746,13.0,0.0,0.0,614.727619047619,0.6,6.4,3.1,6202.733333333334,732.0,6112.200000000001,6186.688888888889,705.6666666666666,698.0,14.673194681861352,15.75454826227219,1.496938271604938,0.3357574342232359,5.333333333333333,2.333333333333333,0.6666666666666666,0.0,6.722871794871796,10.273948129664031,20.22326045642941,22.185918044819164,0.0,0.6666666666666666
28446,10000048,5,2015-05-01,2015,D220,Purranque,0.0,UN  ,7.438895295151498,7.121804301660843,13.128989784632305,10.276630636918146,24.0,1.0,0.0,607.596842105263,0.2,6.8,1.9,6217.4,758.0,6136.177777777779,6215.266666666667,702.0,709.6666666666666,15.988771760006433,13.95318750136669,0.4852066592178244,1.383637876348964,3.0,6.666666666666667,0.0,0.0,8.355717671481855,9.174257164966964,22.079864906870156,19.79632021797803,0.6666666666666666,0.0
28447,10000048,6,2015-06-01,2015,D220,Purranque,0.0,UN  ,6.631802550647615,4.572702058654553,10.059382386797193,7.633541615518799,16.0,4.0,0.0,629.994761904762,0.5,6.7,2.8,6174.266666666666,784.0,6160.177777777779,6218.066666666666,698.6666666666666,730.0,16.530415572915718,12.043497490507042,0.2439500219714657,3.789859611979157,1.6666666666666667,14.0,0.0,0.3333333333333333,9.703069473302511,8.04955807908454,22.559281101352823,16.6599006183728,0.6666666666666666,0.0
28448,10000048,7,2015-07-01,2015,D220,Purranque,0.0,UN  ,12.002716405274583,3.949395856461356,9.670965112949878,7.4344230886170655,26.0,5.0,0.0,650.139545454545,0.4,6.7,3.2,6296.466666666666,797.0,6186.68888888889,6198.133333333332,698.0,758.0,15.754548262272188,9.75894040138523,0.3357574342232361,5.770381445004986,2.333333333333333,17.666666666666668,0.0,1.6666666666666667,10.273948129664031,6.492657032018127,22.185918044819164,13.019724470505516,0.6666666666666666,0.0
28449,10000048,8,2015-08-01,2015,D220,Purranque,0.0,UN  ,10.440834125128262,4.341585293511714,10.55870012668705,7.86974313390384,22.0,2.0,0.0,688.115714285714,0.7,6.6,3.0,6243.133333333333,802.0,6215.266666666667,6229.377777777777,709.6666666666666,779.6666666666666,13.953187501366692,8.448198447018003,1.3836378763489634,8.691138083691234,6.666666666666667,22.0,0.0,3.333333333333333,9.174257164966964,5.214634072258917,19.79632021797803,10.953112428126458,0.0,0.0
28450,10000048,9,2015-09-01,2015,D220,Purranque,0.0,UN  ,2.885704482343729,3.4294422032326,11.083762575078849,7.699697719686352,15.0,5.0,0.0,691.729047619048,0.5,6.5,3.3,6121.25,796.0,6218.066666666666,6237.955555555556,730.0,794.3333333333334,12.043497490507042,7.645902612679901,3.789859611979156,9.691784360350152,14.0,21.33333333333333,0.3333333333333333,3.6666666666666665,8.04955807908454,4.287894402875874,16.6599006183728,10.096349208811374,0.0,0.0
28451,10000048,10,2015-10-01,2015,D220,Purranque,0.0,UN  ,2.5710427516494905,4.655731444038913,13.904297184617336,9.727206995354454,14.0,1.0,0.0,685.314285714286,0.4,6.4,2.0,6332.25,792.0,6198.133333333334,6220.283333333333,758.0,798.3333333333334,9.758940401385232,7.667954647402419,5.770381445004986,8.443085004248859,17.666666666666668,21.0,1.6666666666666667,4.0,6.492657032018125,3.90680778440189,13.019724470505516,10.437809271571927,0.0,0.0
28452,10000048,11,2015-11-01,2015,D220,Purranque,281.0,UN  ,2.442475509406846,7.271355601993635,16.09879414861088,11.99400590643616,12.0,0.0,0.0,704.002380952381,0.0,6.2,3.0,6218.4,776.0,6229.377777777777,6232.211111111111,779.6666666666666,796.6666666666666,8.448198447018006,8.432215949648215,8.691138083691234,5.299193786373828,22.0,17.0,3.333333333333333,2.6666666666666665,5.214634072258918,4.142252980261075,10.953112428126458,11.848919962127743,0.0,0.0
28453,10000048,12,2015-12-01,2015,D220,Purranque,598.0,UN  ,1.5121601556146314,8.633600681093736,18.966148581532675,14.165742067593266,8.0,0.0,0.0,704.238,0.0,5.9,2.9,6217.208333333333,742.0,6237.955555555555,6223.966666666667,794.3333333333334,788.0,7.6459026126799,9.80697020715899,9.691784360350152,2.633074247800022,21.33333333333333,13.666666666666666,3.6666666666666665,2.0,4.287894402875874,5.118843083088382,10.096349208811375,13.695617969435688,0.0,0.0
28454,10000048,1,2016-01-01,2016,D220,Purranque,238.0,UN  ,1.0102190060878364,11.370925111350433,23.97385889935249,17.604431019463046,6.0,0.0,1.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,7.66795464740242,11.96231832312796,8.443085004248859,2.1752261388903227,21.0,11.333333333333334,4.0,0.3333333333333333,3.90680778440189,6.853562575708762,10.437809271571927,16.323079971586967,0.0,0.0
28455,10000048,2,2016-02-01,2016,D220,Purranque,8.0,UN  ,0.9270542889127082,10.522263585742166,21.95052045097203,16.085362128198604,4.0,0.0,1.0,704.084761904762,0.3,6.0,4.6,6242.416666666667,707.0,6232.211111111113,6244.563888888887,796.6666666666666,747.0,8.432215949648215,14.588059664497491,5.299193786373827,1.654951557036438,17.0,8.666666666666666,2.6666666666666665,0.0,4.142252980261077,9.0919604648126,11.848919962127743,19.679600543165343,0.0,0.3333333333333333
28456,10000048,3,2016-03-01,2016,D220,Purranque,0.0,UN  ,1.1831371557059838,9.763620702436514,21.31247642912044,14.383344142888587,4.0,0.0,0.0,682.067727272727,0.4,6.5,2.8,6210.75,692.0,6223.966666666668,6252.569444444444,788.0,724.0,9.806970207158988,15.95184507175164,2.633074247800021,1.1498111502050588,13.666666666666666,6.0,2.0,0.0,5.118843083088383,10.175596459395445,13.695617969435691,21.630175977285727,0.0,0.6666666666666666
28457,10000048,4,2016-04-01,2016,D220,Purranque,2.0,UN  ,3.56642704805455,5.611909070328187,14.663849471024406,9.711247041426285,10.0,0.0,0.0,669.932380952381,0.3,6.6,1.1,6117.333333333333,718.0,6255.952777777777,6250.416666666668,770.0,707.3333333333334,11.962318323127962,16.02437909685008,2.1752261388903222,1.0401368169021763,11.333333333333334,4.666666666666667,0.3333333333333333,0.0,6.853562575708762,10.552269799843035,16.323079971586964,22.41228525981499,0.0,0.6666666666666666
28458,10000048,5,2016-05-01,2016,D220,Purranque,0.0,UN  ,1.9827657813406028,6.360589961106803,14.340213278879483,9.718113024523356,13.0,0.0,0.0,681.870454545454,0.2,7.0,2.3,6107.583333333333,717.0,6244.56388888889,6190.166666666667,747.0,705.6666666666666,14.588059664497491,13.393317770837823,1.654951557036438,1.892206164224414,8.666666666666666,6.0,0.0,0.0,9.0919604648126,8.632597786168956,19.679600543165343,19.308948783705624,0.3333333333333333,0.3333333333333333
28459,10000048,6,2016-06-01,2016,D220,Purranque,0.0,UN  ,1.0088008597538614,2.9931451559337603,10.832615867778792,6.171657508053305,7.0,3.0,0.0,681.071904761905,0.4,7.0,2.3,6127.041666666667,738.0,6252.5694444444425,6145.222222222223,724.0,709.0,15.951845071751642,11.270901402946077,1.149811150205059,2.244109995033712,6.0,9.0,0.0,0.0,10.175596459395445,7.245373244623835,21.63017597728573,16.772179726341445,0.6666666666666666,0.0
28460,10000048,7,2016-07-01,2016,D220,Purranque,0.0,UN  ,6.120417967582968,3.703829878595188,9.862620959279438,6.533600707895224,18.0,4.0,0.0,657.567142857143,0.2,7.3,0.7,6210.25,766.0,6250.416666666664,6117.319444444445,707.3333333333334,724.3333333333334,16.02437909685008,8.533672524667649,1.0401368169021763,2.185997896383004,4.666666666666667,10.0,0.0,1.0,10.552269799843035,4.988548062456251,22.412285259814983,13.278892872560894,0.6666666666666666,0.0
28461,10000048,8,2016-08-01,2016,D220,Purranque,0.0,UN  ,6.308307856360936,4.878425185311686,11.158683345785851,8.463394900735937,20.0,3.0,0.0,658.890454545454,0.0,7.1,2.7,6223.458333333333,761.0,6190.166666666668,6148.291666666667,705.6666666666666,740.3333333333334,13.393317770837823,7.474457080157296,1.892206164224414,3.037328202892477,6.0,12.666666666666666,0.0,2.333333333333333,8.632597786168958,4.352521665211916,19.308948783705624,11.678483368645905,0.3333333333333333,0.0
28462,10000048,9,2016-09-01,2016,D220,Purranque,0.0,UN  ,2.824982540090329,4.906909523407866,13.782343361634664,9.183004485107546,10.0,1.0,0.0,668.632380952381,0.2,7.0,2.0,6101.625,750.0,6145.222222222222,6186.916666666667,709.0,755.0,11.270901402946077,7.056217705561489,2.2441099950337127,4.479175561232588,9.0,15.0,0.0,3.333333333333333,7.245373244623832,3.8584667399468784,16.772179726341445,10.617973390948029,0.0,0.0
28463,10000048,10,2016-10-01,2016,D220,Purranque,3.0,UN  ,3.963059231904672,5.513659539006257,14.824659792555302,10.613744225934305,11.0,0.0,0.0,663.922105263158,0.2,6.7,1.0,6141.083333333333,752.0,6117.319444444444,6178.444444444445,724.3333333333334,759.0,8.53367252466765,8.060000031246235,2.185997896383005,5.0845694546780775,10.0,16.0,1.0,2.6666666666666665,4.988548062456251,4.496388195771579,13.278892872560895,11.601215888899985,0.0,0.0
28464,10000048,11,2016-11-01,2016,D220,Purranque,908.0,UN  ,1.440312483192368,7.745785222654505,17.190973977328206,12.959024014980786,9.0,0.0,0.0,666.117619047619,0.1,6.4,1.8,6175.833333333333,747.0,6148.291666666668,6155.388888888888,740.3333333333334,754.3333333333334,7.474457080157296,9.420047870592596,3.037328202892477,4.365449876118646,12.666666666666666,13.666666666666666,2.333333333333333,1.3333333333333333,4.352521665211917,5.099664749241936,11.678483368645905,13.255228833325274,0.0,0.0
28465,10000048,12,2016-12-01,2016,D220,Purranque,726.0,UN  ,2.883158199151033,9.10412570162051,19.187930454052008,14.352853301925952,10.0,0.0,0.0,667.168095238095,-0.2,6.2,1.5,5970.25,738.0,6186.916666666667,6139.513888888888,755.0,749.6666666666666,7.056217705561489,10.918590908674211,4.479175561232587,2.7427847517291237,15.0,10.0,3.333333333333333,0.3333333333333333,3.858466739946877,6.05545142835621,10.617973390948029,15.265992377172722,0.0,0.0
28466,10000048,1,2017-01-01,2017,D220,Purranque,144.0,UN  ,1.8260084097307925,10.6442748855206,21.416041344776417,16.141346273048217,8.0,0.0,1.0,661.194285714286,0.5,6.4,1.5,6139.666666666667,756.0,6178.444444444446,6095.722222222222,759.0,745.6666666666666,8.060000031246238,12.64187384761368,5.0845694546780775,2.7621766380826918,16.0,10.0,2.6666666666666665,0.0,4.49638819577158,7.454523487760423,11.60121588889998,17.067854741311837,0.0,0.0
28467,10000048,2,2017-02-01,2017,D220,Purranque,8.0,UN  ,2.6333453318553475,12.086062229953937,22.59577698984005,16.841954868235444,6.0,0.0,0.0,643.2095,0.2,6.8,-0.6,6208.958333333333,772.0,6155.38888888889,6095.25,754.3333333333334,747.0,9.420047870592596,14.48440786331832,4.365449876118646,2.049826364024731,13.666666666666666,9.0,1.3333333333333333,0.0,5.099664749241936,9.164728603265203,13.255228833325276,19.264981925385545,0.0,0.3333333333333333
28468,10000048,3,2017-03-01,2017,D220,Purranque,0.0,UN  ,2.114930349449166,8.653842245107699,18.72874977728744,13.014835489016376,7.0,0.0,0.0,661.202608695652,0.4,7.0,1.7,6154.958333333333,760.0,6139.513888888888,6106.291666666668,749.6666666666666,755.3333333333334,10.918590908674211,15.77871814773654,2.7427847517291224,2.447503980245724,10.0,8.0,0.3333333333333333,0.0,6.05545142835621,10.61148760569835,15.265992377172722,21.06658292955616,0.0,0.3333333333333333
28469,10000048,4,2017-04-01,2017,D220,Purranque,0.0,UN  ,3.1095553043781945,8.491258154370973,16.731406153133342,12.328746212895815,15.0,0.0,0.0,655.743333333333,0.2,7.1,-0.6,6140.833333333333,786.0,6095.72222222222,6167.861111111112,745.6666666666666,762.6666666666666,12.64187384761368,15.332712210100013,2.7621766380826904,2.191428030345102,10.0,7.0,0.0,0.0,7.454523487760423,10.46139312019408,17.067854741311834,20.91352270396797,0.0,0.3333333333333333
28470,10000048,5,2017-05-01,2017,D220,Purranque,0.0,UN  ,6.905618621823879,5.5336453431861,12.202051626493976,8.771473105557682,15.0,3.0,0.0,671.539545454545,0.1,7.3,1.8,6138.166666666667,766.0,6095.250000000003,6168.249999999999,747.0,772.6666666666666,14.484407863318324,14.061845523382544,2.0498263640247303,2.6192769952275694,9.0,9.333333333333334,0.0,0.0,9.164728603265203,9.743720876477536,19.26498192538554,19.351977640086947,0.3333333333333333,0.0
28471,10000048,6,2017-06-01,2017,D220,Purranque,0.0,UN  ,8.64726907539377,4.072599022264764,9.593536818117553,7.233169339909091,21.0,4.0,0.0,665.153333333333,-0.4,7.3,1.1,6077.833333333333,776.0,6106.291666666665,6144.652777777778,755.3333333333334,770.6666666666666,15.778718147736535,11.371684935823296,2.447503980245724,4.043368091883747,8.0,12.333333333333334,0.0,1.0,10.61148760569835,7.55958191422159,21.06658292955616,15.887402518971584,0.3333333333333333,0.0
