,Unnamed: 0,IdMaterial,IdCeSum,2021/12,2022/1,2022/10,2022/11,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,Porcentaje,Provision,LeadTime,Sucursal,ABC_Sucursal,ABC,Margen_Total,Margen_Suc,UMBase,MAPE,AcumProy,AcumEsp,AcumPost,MeanSupply,Trim Proy 2022/12 - 2023/2,Trim Proy 2023/3 - 2023/5,DdaProy 2022/12,DdaProy 2023/1,DdaProy 2023/2,DdaProy 2023/3,DdaProy 2023/4,DdaProy 2023/5,PeriodROP,MeanSupply2,StdSupply2,DdaAnual,Trim 2021/12 - 2022/2,Trim 2022/3 - 2022/5,Trim 2022/6 - 2022/8,Trim 2022/9 - 2022/11
0,0,22000536,D110,25,0.0,0,0,0,0,0,0,0,0,0,0,0.003780947051617489,Directo,,Los Angeles,C,A,0.0868829762715435,0.0062131023966883,KG  ,0.6511429709806583,11.922165423995402,25.0,0,1.9870275706659002,6.192393490721555,5.729771933273846,2.3342432812570895,1.9107772114759305,1.9473767789355876,1.9166376794059377,1.9088111190090895,1.9043117920176647,,0.0,0.0,11.922157862101297,25.0,0,0,0
1,1,22000536,D120,0,10.0,335,20,0,0,0,0,0,0,345,65,0.11720935860014216,Directo,,Temuco,A,A,0.0868829762715435,0.1906346001017749,KG  ,0.6511429709806583,369.5871281438574,10.0,765,61.5978546906429,191.9641982123682,177.62292993148924,72.36154171896976,59.234093555753844,60.36868014700321,59.41576806158407,59.17314468928177,59.0336655525476,,0.0,0.0,1134.5868937251403,10.0,0,345,420
2,2,22000536,D130,0,0.0,5,50,0,0,0,0,0,0,0,20,0.011342841154852467,Directo,,,B,B,,,KG  ,0.6511429709806583,35.766496271986206,0.0,75,5.9610827119977,18.577180472164663,17.18931579982154,7.0027298437712675,5.7323316344277915,5.842130336806763,5.749913038217813,5.726433357027268,5.712935376052994,,0.0,0.0,110.7664735863039,0.0,0,0,75
3,3,22000536,D140,0,0.0,50,0,0,0,0,0,0,0,0,51,0.015275026088534656,Directo,,Mafil,A,A,0.0868829762715435,0.2055408969252287,KG  ,0.6511429709806583,48.16554831294142,0.0,101,8.027591385490236,25.017269702515083,23.14827861042634,9.43034285627864,7.719539934362759,7.867402186899774,7.743216224799988,7.711596920796722,7.693419639751365,,0.0,0.0,149.16551776288924,0.0,0,0,101
4,4,22000536,D150,0,0.0,0,10,0,0,0,0,0,0,0,5,0.0022685682309704935,Directo,,,B,B,,,KG  ,0.6511429709806583,7.153299254397241,0.0,15,1.1922165423995401,3.715436094432933,3.4378631599643077,1.4005459687542536,1.1464663268855584,1.1684260673613525,1.1499826076435626,1.1452866714054537,1.1425870752105989,,0.0,0.0,22.153294717260778,0.0,0,0,15
5,5,22000536,D160,0,0.0,230,10,0,0,0,0,0,0,0,75,0.04763993285038036,Directo,,Los Lagos,B,A,0.0868829762715435,0.12291049712932,KG  ,0.6511429709806583,150.21928434234204,0.0,315,25.03654739039034,78.02415798309158,72.19512635925045,29.41146534383932,24.07579286459672,24.5369474145884,24.14963476051481,24.051020099514524,23.99432857942257,,0.0,0.0,465.21918906247635,0.0,0,0,315
6,6,22000536,D170,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Futrono,B,A,0.0868829762715435,0.0668325488452389,KG  ,0.6511429709806583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0
7,7,22000536,D180,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Rio Bueno,C,A,0.0868829762715435,0.0075939529119925,KG  ,0.6511429709806583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0
8,8,22000536,D190,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Osorno,A,A,0.0868829762715435,0.0842912229529096,KG  ,0.6511429709806583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0
9,9,22000536,D210,3,0.0,1318,42,0,18,0,0,0,120,695,943,0.4747357118010919,Directo,,,B,B,,,KG  ,0.6511429709806583,1496.9470906368626,21.0,3118,249.4911817728104,777.5169266949985,719.4301639418642,293.08758639464014,239.91718667291784,244.51262836315237,240.65302702620951,239.67032410278128,239.10538860573797,,0.0,0.0,4614.946141165439,3.0,18,815,2303
10,10,22000536,D220,0,0.0,60,0,0,21,0,0,0,0,320,740,0.1725624234358222,Directo,,Purranque,A,A,0.0868829762715435,0.5539968251656626,KG  ,0.6511429709806583,544.1276299511501,21.0,1120,90.68793832519168,282.6208389165318,261.50679103461835,106.53486335657355,87.20787193176147,88.87827619062021,87.475343688087,87.11813947157485,86.91279018768621,,0.0,0.0,1664.1272848263034,0.0,21,320,800
11,11,22000536,D230,0,0.0,49,-50,0,0,0,0,0,0,0,310,0.04673250555799216,Directo,,Frutillar,C,A,0.0868829762715435,0.0298696257679143,KG  ,0.6511429709806583,147.35796464058313,0.0,309,24.559660773430522,76.53798354531841,70.81998109526474,28.85124695633762,23.6172063338425,24.06957698764386,23.689641717457388,23.592905430952342,23.537293749338332,,0.0,0.0,456.35787117557203,0.0,0,0,309
12,12,22000536,D240,0,0.0,263,0,8,0,0,0,0,0,0,42,0.047337457086250964,Directo,,Puerto Varas,B,A,0.0868829762715435,0.0232390294574156,KG  ,0.6511429709806583,149.26551110842243,8.0,305,24.877585184737068,77.52876650383386,71.73674460458855,29.22472588133876,23.92293068767865,24.38115727227356,23.99630374616234,23.8983152099938,23.841983636061162,,0.0,0.0,454.2654164335083,8.0,0,0,305
13,13,22000536,D250,0,0.0,91,59,59,21,0,4,0,4,0,121,0.05429439966122714,Directo,,Los Muermos,C,A,0.0868829762715435,0.032262753940893,KG  ,0.6511429709806583,171.20229548857395,84.0,275,28.533715914762325,88.92277052676152,82.27952496181243,33.5197335188518,27.438760756794363,27.964330545515036,27.522917076269263,27.410527668970524,27.345917333373663,,0.0,0.0,446.20218689977463,59.0,25,4,271
14,14,22000536,D260,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Puerto Montt,C,A,0.0868829762715435,0.0182538323006376,KG  ,0.6511429709806583,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0
15,15,22000536,D270,0,2.1,43,0,0,0,0,0,0,0,0,0,0.00682082848111795,Directo,,Ancud,C,A,0.0868829762715435,0.0319906536289369,KG  ,0.6511429709806583,21.507586424887705,2.1,43,3.5845977374812836,11.171077857261684,10.33650856762602,4.210974879387789,3.4470420895025784,3.5130677091998,3.4576143736483114,3.4434952586923973,3.435378472799867,,0.0,0.0,64.50757278323074,2.1,0,0,43
0,0,22000550,D110,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,,B,B,,,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
1,1,22000550,D120,0,0,0,0,0,0,0,0,0,0,0,500,0.01843114125626659,Directo,,Temuco,C,B,0.0162393560078689,0.0156305580184279,KG  ,0.6297552489981025,94.78930273059494,0,500,15.798217121765822,63.61271779314883,31.176584937446094,20.951415511648484,6.412009731642583,36.24944706576232,20.00202742553819,1.6365010321439106,9.537931288705398,,0.0,0.0,594.7893320554409,0,0,0,500
2,2,22000550,D130,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Panguipulli,C,B,0.0162393560078689,0.0025885866237873,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
3,3,22000550,D140,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,,B,B,,,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
4,4,22000550,D150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,Valdivia,C,B,0.0162393560078689,0.0226573862187119,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
5,5,22000550,D170,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,,B,B,,,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
6,6,22000550,D180,0,0,0,900,0,0,0,0,0,0,0,4800,0.21011501032143912,Directo,,Rio Bueno,B,B,0.0162393560078689,0.0724670541268363,KG  ,0.6297552489981025,1080.5980511287823,0,5700,180.09967518813036,725.1849828418967,355.41306828688545,238.8461368327927,73.09691094072545,413.24369654969036,228.02311265113536,18.65611176644058,108.73241669124153,,0.0,0.0,6780.598385432026,0,0,0,5700
7,7,22000550,D210,0,0,6100,0,0,0,0,25,0,0,6100,8578,0.7668460631082277,Directo,,,B,B,,,KG  ,0.6297552489981025,3943.8037294091328,25,20778,657.3006215681887,2646.67073650175,1297.132992907382,871.7045937776468,266.7780768947213,1508.1944946181068,832.204353066942,68.08826194337954,396.8351691978767,,0.0,0.0,24721.804949498674,0,25,6100,14678
8,8,22000550,D220,0,0,0,0,0,0,100,0,0,0,0,0,0.003686228251253318,Directo,,Purranque,C,B,0.0162393560078689,0.0257683309533608,KG  ,0.6297552489981025,18.957860546118987,100,0,3.159643424353164,12.722543558629766,6.2353169874892185,4.190283102329697,1.2824019463285168,7.249889413152463,4.000405485107638,0.3273002064287821,1.9075862577410794,,0.0,0.0,18.957866411088176,0,100,0,0
9,9,22000550,D230,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,,B,B,,,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
10,10,22000550,D240,0,0,0,0,0,0,0,0,0,25,0,0,0.0009215570628133294,Directo,,Puerto Varas,C,B,0.0162393560078689,0.0002717084889932,KG  ,0.6297552489981025,4.739465136529747,0,25,0.789910856088291,3.1806358896574416,1.5588292468723046,1.0475707755824242,0.3206004865821292,1.8124723532881157,1.0001013712769096,0.08182505160719553,0.47689656443526984,,0.0,0.0,29.739466602772044,0,0,25,0
11,11,22000550,D250,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,,B,B,,,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
12,12,22000550,D260,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,,B,B,,,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
13,13,22000550,D270,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Directo,,,B,B,,,KG  ,0.6297552489981025,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0
